city,meal_price,coffee_price,beer_price,transport_ticket,taxi_km,rent_city_center,avg_salary,daily_accommodation,daily_cost_estimate
"Lviv, Ukraine",4.51,1.24,1.41,0.26,0.26,366.24,358.12,18.312,24.322000000000003
"Pristina, Kosovo (Disputed Territory)",3.28,1.09,1.64,0.44,0.55,283.48,514.13,14.174,18.984
"Novosibirsk, Russia",5.52,1.78,1.04,0.32,0.14,326.37,413.34,16.3185,23.9385
"Medellin, Colombia",3.37,1.06,0.84,0.6,0.37,309.97,297.06,15.498500000000002,20.5285
"Brussels, Belgium",16.41,3.41,4.38,2.3,2.19,925.5,2530.06,46.275000000000006,68.39500000000001
"Jerusalem, Israel",17.09,3.4,7.97,1.68,1.03,1102.89,2207.76,55.14450000000001,77.31450000000001
"Melbourne, Australia",11.81,2.9,6.56,2.95,1.15,1178.16,3210.73,58.90800000000001,76.56800000000001
"Perth, Australia",13.12,3.04,6.56,3.08,1.13,952.38,2948.07,47.619,66.85900000000001
"Sydney, Australia",12.11,2.67,5.24,2.95,1.44,1714.66,3492.6,85.733,103.46300000000001
"Bologna, Italy",16.41,1.55,5.47,1.64,1.31,761.07,1582.27,38.05350000000001,57.65350000000001
"Alexandria, Egypt",3.17,1.72,1.9,0.25,0.18,165.98,185.59,8.299,13.439
"Quito, Ecuador",3.25,2.18,2.0,0.25,1.5,425.38,553.56,21.269000000000002,26.949
